"Title","Created","Site","Path","Search"
"March 2020 - Cycle 0102.pdf","5/11/2021 4:30:32 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/March 2020 - Cycle 0102 (ID 381956).pdf","Jerod Harwood"
"August 2019 - Cycle 02.pdf","5/11/2021 4:25:39 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/August 2019 - Cycle 02 (ID 370013).pdf","Jerod Harwood"
"January 2021 - Cycle 02.pdf","5/11/2021 4:28:19 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/January 2021 - Cycle 02 (ID 390045).pdf","Jerod Harwood"
"Penalty Register.pdf","5/11/2021 5:06:57 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Penalty Register (ID 391371).pdf","Jerod Harwood"
"January 2020 - Cycle 02.pdf","5/11/2021 4:28:07 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/January 2020 - Cycle 02 (ID 379298).pdf","Jerod Harwood"
"June 2019 - Cycle ZONE 2.pdf","5/11/2021 4:29:41 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/June 2019 - Cycle ZONE 2 (ID 367950).pdf","Jerod Harwood"
"February 2021 - Cycle 02.pdf","5/11/2021 4:27:33 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/February 2021 - Cycle 02 (ID 390977).pdf","Jerod Harwood"
"January Billing Zone 2 01.28.22","2/2/2022 4:38:32 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/January Billing Zone 2 01.28.22.pdf","Jerod Harwood"
"Late Fees Zone 2 06.21.19 - 3852.pdf","5/11/2021 5:08:11 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Late Fees Zone 2 06.21.19 - 3852 (ID 367525).pdf","Jerod Harwood"
"October 2020 - Cycle 02.pdf","5/11/2021 4:33:39 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/October 2020 - Cycle 02 (ID 387741).pdf","Jerod Harwood"
"March 2020 - Cycle 02.pdf","5/11/2021 4:30:37 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/March 2020 - Cycle 02 (ID 381957).pdf","Jerod Harwood"
"Late Fees Zone 2 03.21.19.pdf","5/11/2021 5:08:10 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Late Fees Zone 2 03.21.19 (ID 361644).pdf","Jerod Harwood"
"October Billing Zone 2 10.31.21","11/2/2021 7:31:39 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/October Billing Zone 2 10.31.21.pdf","Jerod Harwood"
"October Bills Zone 2 09.29.21","9/30/2021 3:12:37 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/October Bills Zone 2 09.29.21.pdf","Jerod Harwood"
"Feb Deposit Listing.pdf","4/29/2021 4:06:50 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Feb Deposit Listing (ID 382004).pdf","Jerod Harwood"
"DECEMBER US Deposit Listing - 2353.pdf","4/29/2021 4:18:17 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/DECEMBER US Deposit Listing - 2353 (ID 379401).pdf","Jerod Harwood"
"Deposit Listing August.pdf","4/29/2021 4:18:27 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing August (ID 386950).pdf","Jerod Harwood"
"January Deposit Listing - 5519.pdf","4/29/2021 4:37:24 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/January Deposit Listing - 5519 (ID 270484).pdf","Jerod Harwood"
"Sept US Deposit Listing - 0641.pdf","4/29/2021 4:23:29 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Sept US Deposit Listing - 0641 (ID 374241).pdf","Jerod Harwood"
"MARCH US Deposit Listing - 2356.pdf","4/29/2021 4:21:31 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/MARCH US Deposit Listing - 2356 (ID 379404).pdf","Jerod Harwood"
"JUNE US Deposit Listing - 4350.pdf","4/29/2021 4:21:10 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/JUNE US Deposit Listing - 4350 (ID 368040).pdf","Jerod Harwood"
"May Deposit Listing.pdf","4/29/2021 4:21:37 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/May Deposit Listing (ID 384251).pdf","Jerod Harwood"
"August US Deposit Listing - 8218.pdf","4/29/2021 4:15:23 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/August US Deposit Listing - 8218 (ID 372298).pdf","Jerod Harwood"
"March Deposit Listing.pdf","4/29/2021 4:21:27 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/March Deposit Listing (ID 382900).pdf","Jerod Harwood"
"Deposit Listing DEC.pdf","4/29/2021 4:06:07 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing DEC (ID 389572).pdf","Jerod Harwood"
"FEBRUARY US Deposit Listing - 2355.pdf","4/29/2021 4:19:15 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/FEBRUARY US Deposit Listing - 2355 (ID 379403).pdf","Jerod Harwood"
"March Deposit Listing - 1190.pdf","4/29/2021 4:37:54 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/March Deposit Listing - 1190 (ID 276611).pdf","Jerod Harwood"
"Deposit Listing NOV.pdf","4/29/2021 4:06:13 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing NOV (ID 389570).pdf","Jerod Harwood"
"May Deposit Listing - 6688.pdf","4/29/2021 4:38:06 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/May Deposit Listing - 6688 (ID 281404).pdf","Jerod Harwood"
"November Deposit Listing - 0554.pdf","4/29/2021 4:34:21 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/November Deposit Listing - 0554 (ID 265958).pdf","Jerod Harwood"
"June Deposit Listing - 9800.pdf","4/29/2021 4:37:44 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/June Deposit Listing - 9800 (ID 283652).pdf","Jerod Harwood"
"MAY US Deposit Listing - 2351.pdf","4/29/2021 4:21:42 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/MAY US Deposit Listing - 2351 (ID 379399).pdf","Jerod Harwood"
"December Deposit Listing - 3114.pdf","4/29/2021 4:29:00 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/December Deposit Listing - 3114 (ID 268250).pdf","Jerod Harwood"
"APRIL US Deposit Listing - 2357.pdf","4/29/2021 4:15:10 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/APRIL US Deposit Listing - 2357 (ID 379405).pdf","Jerod Harwood"
"February Deposit Listing.pdf","4/29/2021 4:29:37 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/February Deposit Listing (ID 272586).pdf","Jerod Harwood"
"April Deposit Listing - 3802.pdf","4/29/2021 4:36:18 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/April Deposit Listing - 3802 (ID 279130).pdf","Jerod Harwood"
"JANUARY US Deposit Listing - 2354.pdf","4/29/2021 4:20:41 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/JANUARY US Deposit Listing - 2354 (ID 379402).pdf","Jerod Harwood"
"October Deposit Listing - 8410.pdf","4/29/2021 4:34:29 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/October Deposit Listing - 8410 (ID 263959).pdf","Jerod Harwood"
"April Deposit Listing.pdf","4/29/2021 4:15:06 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/April Deposit Listing (ID 383598).pdf","Jerod Harwood"
"Deposit Listing JAN.pdf","4/29/2021 4:06:09 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing JAN (ID 389573).pdf","Jerod Harwood"
"June Deposit Listing.pdf","4/29/2021 4:21:07 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/June Deposit Listing (ID 385296).pdf","Jerod Harwood"
"July US Deposit Listing - 6301.pdf","4/29/2021 4:21:00 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/July US Deposit Listing - 6301 (ID 370176).pdf","Jerod Harwood"
"Deposit Listing JULY.pdf","4/29/2021 4:06:10 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing JULY (ID 386251).pdf","Jerod Harwood"
"NOVEMBER US Deposit Listing - 2352.pdf","4/29/2021 4:22:17 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/NOVEMBER US Deposit Listing - 2352 (ID 379400).pdf","Jerod Harwood"
"Deposit Listing OCT.pdf","4/29/2021 4:06:15 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing OCT (ID 389569).pdf","Jerod Harwood"
"Deposit Listing SEPT.pdf","4/29/2021 4:06:16 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing SEPT (ID 387787).pdf","Jerod Harwood"
"Daily Cash Report - 11-3-2020.pdf","5/5/2021 10:37:45 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/BudgetaryDocsArchive/Daily Cash Report - 11-3-2020 (ID 388702).pdf","Jerod Harwood"
"Daily Cash Report - 9-23-2019.pdf","5/5/2021 11:48:08 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/BudgetaryDocsArchive/Daily Cash Report - 9-23-2019 (ID 373607).pdf","Jerod Harwood"
"The Landings at Post Falls Site Plan Review (1_2)","11/28/2022 10:50:42 PM","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews/Site Plan Review Documents/Landing at Post Falls, The SPR-0039-2021/01 Review 1 for Landing at Post Falls, The SPR-0039-2021 (ID 198357)/The Landings at Post Falls Site Plan Review (1_2).msg","Jerod Harwood"
"The Landings at Post Falls Site Plan Review (2_2)","11/28/2022 10:50:33 PM","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews/Site Plan Review Documents/Landing at Post Falls, The SPR-0039-2021/01 Review 1 for Landing at Post Falls, The SPR-0039-2021 (ID 198357)/The Landings at Post Falls Site Plan Review (2_2).msg","Jerod Harwood"
"Acknowledgement Letter","11/28/2022 10:49:48 PM","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews/Site Plan Review Documents/Landing at Post Falls, The SPR-0039-2021/05 App Material for Landing at Post Falls, The SPR-0039-2021 (ID 198361)/Acknowledgement Letter.pdf","Jerod Harwood"
"311523_380094_Daily Cash Report - 5-22-2017.pdf","12/3/2022 9:47:46 AM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Budgetary_Docs_MFiles/311523_380094_Daily Cash Report - 5-22-2017.pdf","Jerod Harwood"
"December Deposit Listing - 3114.pdf","4/29/2021 4:29:00 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2016/Utility-Monthly Deposit Reports/December Deposit Listing - 3114 (ID 268250).pdf","Jerod Harwood"
"Deposit Listing OCT.pdf","4/29/2021 4:06:15 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/Deposit Listing OCT (ID 389569).pdf","Jerod Harwood"
"January Deposit Listing - 5519.pdf","4/29/2021 4:37:24 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2016/Utility-Monthly Deposit Reports/January Deposit Listing - 5519 (ID 270484).pdf","Jerod Harwood"
