"Folder","path","Name","SizeKB","SizeMB"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Lorem Ipsum.txt","Lorem Ipsum.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Run through.txt","Run through.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_.eml","TEST_.eml","1.67","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Excel spreadsheet_TEST Attachment.xlsx","TEST_Excel spreadsheet_TEST Attachment.xlsx","9.15","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Excel Test Document please IGNORE.xlsx","TEST_Excel Test Document please IGNORE.xlsx","15.68","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Excel Test Document please IGNORE2.xlsx","TEST_Excel Test Document please IGNORE2.xlsx","23.37","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_JPEG Attachment Larger.jpg","TEST_JPEG Attachment Larger.jpg","315.32","0.31"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_JPEG Attachment.jpg","TEST_JPEG Attachment.jpg","12.55","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Lorem_Ipsum.txt","TEST_Lorem_Ipsum.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_new.txt","TEST_new.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_PDF_1.pdf","TEST_PDF_1.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_PDF_2.pdf","TEST_PDF_2.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Test_PDF_3.pdf","Test_PDF_3.pdf","46.49","0.05"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_PDF_Attachment.pdf","TEST_PDF_Attachment.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text.txt","TEST_Text.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_1.txt","TEST_Text_1.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_2.txt","TEST_Text_2.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_Attachment.txt","TEST_Text_Attachment.txt","0.14","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_Foo.txt","TEST_Text_Foo.txt","0.2","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_New.txt","TEST_Text_New.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Word Attachment.docx","TEST_Word Attachment.docx","18.96","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Word Signature.docx","TEST_Word Signature.docx","18.92","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\TEST_Lorem_Ipsum.txt","TEST_Lorem_Ipsum.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\Third one\File for third.txt","File for third.txt","0.02","0"
"2nd level folder","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\TEST_Lorem_Ipsum.txt","TEST_Lorem_Ipsum.txt","5.57","0.01"
"2nd level folder","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\Third one\File for third.txt","File for third.txt","0.02","0"
"Third one","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\Third one\File for third.txt","File for third.txt","0.02","0"
